query,category,expected_route,actual_route,final_route,iteration_count,input_classification,approval_used,response,route_correct,answer_correct,failure_type,notes
What ingredients are listed for Coca-Cola?,product ingredient retrieval,retrieval_agent,retrieval_agent,end,1,SAFE,True,"The ingredient list for Coca-Cola includes: water, sugar, carbon dioxide, color E150d, acidulant phosphoric acid, natural flavor, and caffeine flavoring [1, 2, 3]. Some sources also list citric acid as an ingredient [5].",,,,
In which countries were Dove products found?,product location retrieval,retrieval_agent,retrieval_agent,end,1,SAFE,True,Dove products were found in the United States [3] and France [5].,,,,
Compare the available Coca-Cola product records.,comparative product retrieval,retrieval_agent -> comparison_agent,retrieval_agent -> comparison_agent,end,2,SAFE,True,"A reliable ranking cannot be calculated because fewer than two products have comparable values for: unit_price, total_price. Missing criteria: unit_price, total_price.",,,,
Check openFDA for food recalls involving salmonella.,live external recall lookup,recall_agent,recall_agent,end,1,SAFE,False,"Found 2 openFDA report(s) matching ""salmonella"".
A matching report may describe a product that contains or mentions the search term. It does not necessarily represent a recall initiated by that brand or manufacturer.

**Organic Brown Rice Flour; 25 lb. bulk bags  Organic Brown Rice Flour ( UPC # 073416 00500 6) were distributed in retail store bulk bins.  Salmonella, an organism which can cause serious and sometimes fatal infections in young children, frail or elderly people, and others with weakened immune systems if consumed raw. Healthy persons infected with Salmonella often experience fever, diarrhea (which may be bloody), nausea, vomiting and abdominal pain.**
- Company: Wehah Farms
- Match basis: product description mention
- Classification: Class I
- Status: Terminated
- Reason: Customer notified Lundberg Family Farms of a positive Salmonella test on Organic Brown Rice Flour.
- Report date: 2014-12-03
- Recall number: F-0536-2015

**Eco Farm Fine Brown Rice Flour; 25 lb. bulk bags  Organic Brown Rice Flour ( UPC # 073416 00500 1) were distributed in retail store bulk bins.  Salmonella, an organism which can cause serious and sometimes fatal infections in young children, frail or elderly people, and others with weakened immune systems if consumed raw. Healthy persons infected with Salmonella often experience fever, diarrhea (which may be bloody), nausea, vomiting and abdominal pain.     Lundberg Family Farms, Richvale, CA**
- Company: Wehah Farms
- Match basis: product description mention
- Classification: Class I
- Status: Terminated
- Reason: Customer notified Lundberg Family Farms of a positive Salmonella test on Organic Brown Rice Flour.
- Report date: 2014-12-03
- Recall number: F-0537-2015

openFDA data is informational and should not be treated as medical advice or proof that an unmatched product is safe.
Source: openFDA food enforcement reports.",,,,
What information is stored in the product-price records?,document and metadata retrieval,retrieval_agent,retrieval_agent,end,1,SAFE,True,"The product ""4X100G POMME FRAISE AND"" has a price of 1.69 EUR [1]. The product ""4X100G POMME ABRICOT AND"" has a price of 1.69 EUR [2, 4]. The product ""4X100G POMME POIRE AND"" has a price of 1.59 EUR [3]. The product ""4X100G POMME CHATAIGNE AND"" has a price of 1.85 EUR [5]. All these products were observed at Carrefour Market in Paris, France [1, 2, 3, 4, 5].",,,,
What is an AI agent?,general knowledge,general_agent,general_agent,end,1,SAFE,False,"An AI agent is an autonomous software program powered by artificial intelligence that can perceive its environment through sensors, make decisions using reasoning or machine learning, and take actions through actuators to achieve a specific goal. 

Unlike standard software that strictly follows hard-coded rules, or basic chatbots that only respond to prompts, AI agents can plan multi-step tasks, learn from their surroundings, and adapt their behavior to accomplish objectives with minimal human intervention.",,,,
Explain the purpose of a vector database in simple terms.,general technical knowledge,general_agent,general_agent,end,1,SAFE,False,"A vector database is designed to store and search data (like text, images, or audio) as numerical representations called vectors, which capture the meaning of the data. Its main purpose is to allow computers to quickly find and compare similar items based on their meaning rather than exact keyword matches.",,,,
What is the difference between an LLM and an embedding model?,general technical comparison,general_agent,general_agent,end,1,SAFE,False,"An **LLM (Large Language Model)** is designed for **text generation and reasoning**. It takes a prompt and generates human-like text, answers questions, or writes code by predicting subsequent tokens.

An **embedding model**, on the other hand, is designed for **representation**. It converts text, images, or code into fixed-length numerical vectors (embeddings) that capture semantic meaning, which are primarily used for search, clustering, and similarity matching.

**Key difference:** LLMs *generate* language, while embedding models *quantify* it for mathematical comparison.",,,,
Why are guardrails useful in an AI application?,general AI knowledge,general_agent,general_agent,end,1,SAFE,False,"Guardrails are useful in AI applications because they act as safety boundaries that ensure outputs are accurate, safe, and aligned with user intent. 

Key benefits include:
* **Safety:** Preventing the generation of toxic, biased, or harmful content.
* **Accuracy:** Reducing hallucinations and ensuring responses are factually reliable.
* **Security:** Blocking sensitive data leaks and prompt injection attacks.
* **Compliance:** Ensuring AI behavior adheres to legal, ethical, and brand guidelines.",,,,
Write a short description of a multi-agent system.,out-of-scope general request,general_agent,general_agent,end,1,SAFE,False,"A multi-agent system is a computerized setup composed of multiple interacting intelligent agents—either software programs or robots—that cooperate, negotiate, and coordinate their actions to solve complex problems, achieve common goals, or operate in dynamic environments beyond the capability of a single agent.",,,,
